,2011_Mortgate_Count,2011_New_House_Price,2011_Second_Hand_Price,2011_Sum_of_Price,2011_Male_Population,2011_Female_Population,2011_Total_Population,2011_Migration_Population,2011_LA_Arrears,2011_Loans Approved,2011_Loans_Paid,2011_1 - 14 years,2011_15 - 19 years,2011_20 - 24 years,2011_25 - 29 years,2011_30 - 34 years,2011_35 - 44 years,2011_45 - 54 years,2011_55 - 64 years,2011_65 - 74 years,2011_75 years and over,2011_employment,2011_Married_First_Marriage,2011_Divorsed,2011_AVG_Interest_Rate,2012_Mortgate_Count,2012_New_House_Price,2012_Second_Hand_Price,2012_Sum_of_Price,2012_AVG_Interest_Rate,2012_LA_Arrears,2012_Loans Approved,2012_Loans_Paid,2013_Mortgate_Count,2013_New_House_Price,2013_Second_Hand_Price,2013_Sum_of_Price,2013_AVG_Interest_Rate,2013_LA_Arrears,2013_Loans Approved,2013_Loans_Paid,2014_Mortgate_Count,2014_New_House_Price,2014_Second_Hand_Price,2014_Sum_of_Price,2014_AVG_Interest_Rate,2014_LA_Arrears,2014_Loans Approved,2014_Loans_Paid,2015_Mortgate_Count,2015_New_House_Price,2015_Second_Hand_Price,2015_Sum_of_Price,2015_AVG_Interest_Rate,2015_LA_Arrears,2015_Loans Approved,2015_Loans_Paid,2016_Countof_mortgages,2016_New_House_Price ,2016_Second_Hand_Price,2016_Sum_of_Price,2016_Male_Population,2016_Female_Population,2016_Total_Population,2016_Migration_Population,2016_LA_Arrears,2016_Loans_Approved,2016_Loans_Paid,2016_1 - 14 years,2016_15 - 19 years,2016_20 - 24 years,2016_25 - 29 years,2016_30 - 34 years,2016_35 - 44 years,2016_45 - 54 years,2016_55 - 64 years,2016_65 - 74 years,2016_75 years and over,2016_employment,2016_Married_First_Marriage,2016_Divorsed,2016_AVG_Interest_Rate,2017_Mortgate_Count,2017_New_House_Price,2017_Second_Hand_Price,2017_Sum_of_Price,2017_AVG_Interest_Rate,2017_LA_Arrears,2017_Loans Approved,2017_Loans_Paid,2011_Forced,2011_Voluntary,2012_Forced,2012_Voluntary,2013_Forced,2013_Voluntary,2014_Forced,2014_Voluntary,2015_Forced,2015_Voluntary,2016_Forced,2017_Voluntary,2017_Forced,2017_Voluntary.1,Average of 2011,Average of 2016,2011_Same_Sex_Civil Partners,2016_Same_Sex_Civil Partners,2011_Remarried,2016_Remarried,2011_Seperated,2016_Seperated,2011_Single,2016_Single,2011_Widowed,2016_Widowed,2011_AllPrivate,2016_AllPrivate,2011_Permanent_Private,2016_Temporary_Private,2011_African-Both sexes,2011_African-Female,2011_African-Male,2011_All nationalities-Both sexes,2011_All nationalities-Female,2011_All nationalities-Male,2011_American (US)-Both sexes,2011_American (US)-Female,2011_American (US)-Male,2011_Brazilian-Both sexes,2011_Brazilian-Female,2011_Brazilian-Male,2011_French-Both sexes,2011_French-Female,2011_French-Male,2011_German-Both sexes,2011_German-Female,2011_German-Male,2011_Indian-Both sexes,2011_Indian-Female,2011_Indian-Male,2011_Irish-Both sexes,2011_Irish-Female,2011_Irish-Male,2011_Italian-Both sexes,2011_Italian-Female,2011_Italian-Male,2011_Latvian-Both sexes,2011_Latvian-Female,2011_Latvian-Male,2011_Lithuanian-Both sexes,2011_Lithuanian-Female,2011_Lithuanian-Male,"2011_Not stated, including no nationality-Both sexes","2011_Not stated, including no nationality-Female","2011_Not stated, including no nationality-Male",2011_Other American-Both sexes,2011_Other American-Female,2011_Other American-Male,2011_Other Asian-Both sexes,2011_Other Asian-Female,2011_Other Asian-Male,2011_Other EU28-Both sexes,2011_Other EU28-Female,2011_Other EU28-Male,2011_Other European-Both sexes,2011_Other European-Female,2011_Other European-Male,2011_Other nationalities-Both sexes,2011_Other nationalities-Female,2011_Other nationalities-Male,2011_Polish-Both sexes,2011_Polish-Female,2011_Polish-Male,2011_Romanian-Both sexes,2011_Romanian-Female,2011_Romanian-Male,2011_Spanish-Both sexes,2011_Spanish-Female,2011_Spanish-Male,2011_UK-Both sexes,2011_UK-Female,2011_UK-Male,2016_African-Both sexes,2016_African-Female,2016_African-Male,2016_All nationalities-Both sexes,2016_All nationalities-Female,2016_All nationalities-Male,2016_American (US)-Both sexes,2016_American (US)-Female,2016_American (US)-Male,2016_Brazilian-Both sexes,2016_Brazilian-Female,2016_Brazilian-Male,2016_French-Both sexes,2016_French-Female,2016_French-Male,2016_German-Both sexes,2016_German-Female,2016_German-Male,2016_Indian-Both sexes,2016_Indian-Female,2016_Indian-Male,2016_Irish-Both sexes,2016_Irish-Female,2016_Irish-Male,2016_Italian-Both sexes,2016_Italian-Female,2016_Italian-Male,2016_Latvian-Both sexes,2016_Latvian-Female,2016_Latvian-Male,2016_Lithuanian-Both sexes,2016_Lithuanian-Female,2016_Lithuanian-Male,"2016_Not stated, including no nationality-Both sexes","2016_Not stated, including no nationality-Female","2016_Not stated, including no nationality-Male",2016_Other American-Both sexes,2016_Other American-Female,2016_Other American-Male,2016_Other Asian-Both sexes,2016_Other Asian-Female,2016_Other Asian-Male,2016_Other EU28-Both sexes,2016_Other EU28-Female,2016_Other EU28-Male,2016_Other European-Both sexes,2016_Other European-Female,2016_Other European-Male,2016_Other nationalities-Both sexes,2016_Other nationalities-Female,2016_Other nationalities-Male,2016_Polish-Both sexes,2016_Polish-Female,2016_Polish-Male,2016_Romanian-Both sexes,2016_Romanian-Female,2016_Romanian-Male,2016_Spanish-Both sexes,2016_Spanish-Female,2016_Spanish-Male,2016_UK-Both sexes,2016_UK-Female,2016_UK-Male,2011_All persons aged 15 years and over,2016_All persons aged 15 years and over,2011_Employer or own account worker,2016_Employer or own account worker,2011_Employee,2016_Employee,2011_Assisting_relative,2016_Assisting_relative,2011_Unemployed looking for first regular job,2016_Unemployed looking for first regular job,2011_Unemployed having lost or given up previous job,2016_Unemployed having lost or given up previous job,2011_Student,2016_Student,2011_Looking after home/family,2016_Looking after home/family,2011_Retired,2016_Retired,2011_Unable to work due to permanent sickness or disability,2016_Unable to work due to permanent sickness or disability,2011_Other economic status,2016_Other economic status,2011_all_depature_timeAll_Persons,2016_all_depature_timeAll_Persons,2011_all_depature_time_Children at school aged between 5 and 12 years,2016_all_depature_time_Children at school aged between 5 and 12 years,2011_all_depature_time_Students at school or college aged between 13 and 18 years,2016_all_depature_time_Students at school or college aged between 13 and 18 years,2011_all_depature_time_Students at school or college aged 19 years and over,2016_all_depature_time_Students at school or college aged 19 years and over,2011_all_depature_time_Population aged 15 years and over at work,2016_all_depature_time_Population aged 15 years and over at work
count,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
mean,1553.3333333333333,83676227.41148148,293897249.1740741,377573476.60037035,168348.07407407407,171522.44444444444,339870.51851851854,9058.666666666666,16321179.744444445,93563906.50037038,817887.6962962963,66357.85185185185,20434.666666666668,20372.962962962964,25259.777777777777,28271.40740740741,50405.40740740741,42137.03703703704,33624.2962962963,22150.51851851852,16912.666666666668,103809.33333333333,245319.40740740742,13002.962962962964,8.758148148148148,1876.2962962962963,41411277.948148146,321852970.7351852,363264248.6596296,7.138765432296294,17715848.292592593,90819822.5925926,1085251.9881481482,2224.3703703703704,43729140.49814816,412423138.47,456152278.9677777,7.424444444444446,18471635.155555554,87196454.7037037,842533.5288888889,3226.8888888888887,75084589.42629631,617739099.5633333,692823689.0174074,7.978148148148147,17859882.099999998,82098071.44444445,975609.9892592593,3632.8888888888887,107490356.4548148,693027695.4711112,800518051.8907409,7.459753087333335,21171226.65185185,77565574.4074074,1692263.6014814812,3674.814814814815,147870931.1062963,753856771.77,901727702.8277777,174402.07407407407,178328.66666666666,352730.74074074073,-1827.3333333333333,17612211.00740741,71893022.92222223,1983769.3444444444,68931.03703703704,21838.37037037037,18466.814814814814,20031.185185185186,25377.185185185186,53822.2962962963,45324.81481481482,36730.2962962963,26915.185185185186,19283.925925925927,125077.70370370371,255732.74074074073,15391.851851851852,7.193333333333333,4045.185185185185,204984981.93222225,872780543.7022222,1077765525.6177778,7.98296296296296,14659432.488888888,67657092.0,1729515.037037037,3.185185185185185,3.5555555555555554,3.8518518518518516,4.518518518518518,2.962962962962963,4.444444444444445,2.074074074074074,2.5185185185185186,3.259259259259259,2.2962962962962963,1.3333333333333333,2.2222222222222223,0.8148148148148148,1.5555555555555556,5.283333333333335,5.2814814814814826,0.0,626.074074074074,7807.111111111111,9145.037037037036,17213.925925925927,17507.85185185185,368092.5925925926,377987.25925925927,28305.037037037036,29070.666666666668,456638.2962962963,472513.85185185185,455553.85185185185,471410.44444444444,3084.5925925925926,1563.4814814814815,1521.111111111111,335206.0,169026.37037037036,166179.62962962964,815.925925925926,463.9259259259259,352.0,644.7407407407408,318.22222222222223,326.51851851851853,722.1481481481482,364.81481481481484,357.3333333333333,837.4074074074074,466.22222222222223,371.18518518518516,1258.2222222222222,583.4074074074074,674.8148148148148,290899.48148148146,146922.96296296295,143976.5185185185,567.1111111111111,247.92592592592592,319.18518518518516,1525.4074074074074,850.4444444444445,674.9629629629629,2717.259259259259,1423.1851851851852,1294.0740740740741,3983.777777777778,1918.7407407407406,2065.037037037037,382.5925925925926,214.37037037037038,168.22222222222223,3599.4814814814813,1782.6666666666667,1816.8148148148148,3161.6296296296296,1545.1851851851852,1616.4444444444443,1145.2592592592594,584.6666666666666,560.5925925925926,680.074074074074,320.81481481481484,359.25925925925924,9080.37037037037,4385.407407407408,4694.962962962963,1281.7777777777778,629.0370370370371,652.7407407407408,503.25925925925924,301.25925925925924,202.0,8315.481481481482,4139.62962962963,4175.851851851852,1640.7407407407406,787.4074074074074,853.3333333333334,347401.55555555556,175515.62962962964,171885.92592592593,779.1851851851852,452.51851851851853,326.6666666666667,1010.3703703703703,538.2962962962963,472.0740740740741,863.7777777777778,429.25925925925924,434.51851851851853,854.1481481481482,484.3703703703704,369.77777777777777,849.2592592592592,313.25925925925924,536.0,302408.3703703704,153101.77777777778,149306.59259259258,869.0370370370371,392.3703703703704,476.6666666666667,1476.5185185185185,840.3703703703703,636.1481481481482,2707.5555555555557,1454.2962962962963,1253.2592592592594,5328.37037037037,2533.3333333333335,2795.037037037037,506.0740740740741,295.55555555555554,210.5185185185185,2903.4074074074074,1414.3703703703704,1489.037037037037,3746.8888888888887,1839.4814814814815,1907.4074074074074,809.8518518518518,410.22222222222223,399.6296296296296,875.7037037037037,423.18518518518516,452.51851851851853,9075.185185185184,4492.962962962963,4582.222222222223,2161.925925925926,1044.148148148148,1117.7777777777778,897.1851851851852,535.925925925926,361.25925925925924,7638.0,3732.5185185185187,3905.4814814814813,267308.2962962963,278171.3333333333,22687.25925925926,23215.11111111111,110756.29629629629,125077.70370370371,434.962962962963,347.25925925925924,2530.814814814815,2328.4444444444443,28939.037037037036,19700.88888888889,30284.296296296296,31639.11111111111,25179.11111111111,22633.777777777777,33881.03703703704,40400.51851851852,11629.111111111111,11729.481481481482,986.3703703703703,1099.037037037037,200718.96296296295,219448.14814814815,37125.92592592593,40489.92592592593,23866.222222222223,25923.037037037036,14165.777777777777,14089.037037037036,125561.03703703704,138946.14814814815
std,4090.6850470118275,218533683.7201514,823372444.6398559,1038676204.3189073,436334.5469486005,445628.55343464745,881953.1801669332,23039.14498613843,41620009.4912815,262197406.7039085,2130035.801237936,170955.498885777,52683.67551134427,53242.909783283656,66714.57585308034,74260.11051508239,130739.37705140396,108892.05146364043,86764.2376850202,57208.69486320734,43747.57663618022,269173.05345932266,633359.5488860761,33850.9469126521,21.879169576165193,4973.4271175364875,111412408.49947442,912159243.3575492,1022810244.7581905,17.833708314262786,45333718.86145621,253938994.1076931,2787832.797626156,5883.971808410135,119616134.68756784,1188687962.174955,1307479391.5439062,18.54737739771673,47499862.33480175,243457399.64438713,2185549.7512200414,8482.769265414237,210113296.0583568,1774100163.710868,1983730585.9588375,19.930612417650206,46105743.15386709,228723655.7447246,2549849.236232647,9523.710097731924,303942126.7774971,1943527349.9031203,2247169952.3935,18.635583695322072,58648949.72826157,215332923.85919237,4374374.691339797,9641.985951025446,428850217.3242285,2126153149.0571856,2554292321.3479943,452862.1416633514,463863.42800971394,916720.3742944231,5347.123094208267,48227928.38856294,197978515.0759411,5083392.74032799,178006.73329280413,56279.5741879825,48395.15343903214,53351.796183473045,67087.33939427654,140389.43451584261,117164.76517807569,94799.42776515658,69385.14214265684,49957.954455511055,328625.3671512494,661453.0875689576,39998.68703585897,17.970027128527104,10644.326986843696,592160369.8830718,2453184880.0454407,3043867240.4291754,19.942640548258325,39783272.822784275,185279531.22378165,4497892.622862994,9.294485697846028,9.43941545343588,11.441166238643895,11.991568737980899,8.373407915177674,11.728772423578802,5.398902494780597,6.583022279787783,8.546670933502941,6.049887569297433,3.751922584079138,6.05953370466315,2.131035086832345,4.263740984099195,13.198912761167986,13.194492937382773,0.0,1763.9434389572857,20172.107218657788,23711.438773919745,44717.90232964347,45296.93273339963,959031.5191903542,986419.1628379347,73099.37308869424,75143.04944570722,1184687.518525124,1227220.088048742,1181981.9345644612,1224461.164132626,8543.530355948877,4326.989683463287,4216.827656803096,869299.752164925,438861.8789048947,430447.55102104065,2145.22955425657,1218.2021723685823,927.222402994764,1823.1245282711889,903.5034942392664,919.7515705705272,2049.5275197301094,1037.2117222125657,1012.4823645187794,2230.7122570580846,1241.326812894274,989.7586355749348,3617.5243163643254,1666.03712811291,1951.8065209330293,752062.2981000757,380365.3691051521,371709.38323687256,1681.048787406548,743.1016042924374,938.1669540216355,3983.919834875226,2226.094412493175,1758.109047144807,7074.578397835628,3707.0233967952595,3367.6464610480843,10609.098266376883,5107.376728378674,5501.780840932545,1089.0700782445706,610.159131081528,479.09388298949165,10277.276601132342,5105.034566295994,5172.7655974271565,8476.547873842857,4149.019550884068,4327.737189281158,3122.3297341345883,1600.6069041268258,1521.945851135701,1819.973983878424,855.453457666528,964.7248548596878,23716.972313170663,11475.720712273232,12241.895399002311,3879.719352789613,1902.7772916588062,1976.959818131649,1486.472815156547,890.1328592533292,596.3936490401156,21185.43870094662,10522.144809686446,10666.92537600259,4487.966376815918,2149.777166614453,2338.3805704606107,902404.7662458236,456332.77180205873,446077.83761684166,2092.795922224566,1215.1907216682039,877.7000977204352,3039.53813733585,1620.7001529447036,1418.912582712169,2460.4227956457676,1218.1563810369212,1242.4236354917311,2279.2994150312556,1289.0733746541216,990.3733691171276,2455.3347506789655,901.287139108568,1554.1866039829322,783003.8451991323,396880.81881469866,386132.3184668157,2591.8094137179605,1174.002298128669,1417.8562637359912,3833.866820550865,2185.736016648153,1648.2970163568987,7019.323331037048,3771.5644562029493,3247.8596572629726,14415.55683213891,6836.515025384476,7579.484793133682,1500.414940708734,865.6032726607644,635.3803446253137,8127.367864478536,3977.466628474308,4150.605474658824,10084.616183281472,4948.70824924872,5136.055672020783,2256.3872366735636,1146.3777848689433,1110.0998966880325,2378.1735689845104,1149.5366637522013,1228.714004727343,23599.53003938367,11706.364910665156,11894.026669309953,6419.41063629512,3093.8607410321956,3325.6334310847787,2608.688206109568,1543.4648815103765,1065.9410285533042,19465.14125499538,9487.03903053801,9982.018014603793,695013.5328571122,724236.466598126,58132.46104543855,59601.02521468087,290564.0116678668,328625.3671512494,1107.335383893088,884.8451230231717,6618.919857482192,6070.164224957074,74627.16388795781,50895.20764906089,79250.40528836664,82641.91575490627,64914.112725575455,58393.3611712136,87743.50811553896,104567.55461105601,29968.199887333565,30203.288372129755,2582.6791865477176,2844.3759283281142,522545.97516850726,572279.1811191123,95561.21715622357,104401.0947938198,61428.93126728663,66724.945818626,37426.314916865784,37257.21413517066,328397.6671185153,364198.150567127
min,142.0,7799854.36,10398213.73,18198068.09,16144.0,15654.0,31798.0,-900.0,189210.0,1880455.0,0.0,6299.0,1895.0,1499.0,1867.0,2271.0,4513.0,4234.0,3679.0,2481.0,2141.0,9291.0,24296.0,1210.0,4.5475,176.0,3584935.84,13886252.67,17471188.51,3.706666667,543639.0,1970644.0,0.0,242.0,2474088.67,15113464.97,17587553.64,3.855,451573.0,1987789.0,0.0,340.0,4011310.86,24330012.82,30104629.31,4.1425,420046.0,1946284.0,0.0,351.0,4191825.1,28611530.56,35057535.24,3.873333333,347380.0,1809274.0,0.0,399.0,2305911.2,33401392.29,38391122.75,16064.0,15980.0,32044.0,-24669.0,344787.0,1683237.0,0.0,6424.0,1961.0,1303.0,1300.0,1887.0,4525.0,4253.0,4042.0,3029.0,2326.0,10096.0,24632.0,1454.0,3.735,405.0,4227690.88,34849601.0,39077291.88,4.145,309165.0,1513552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.5,0.0,20.0,920.0,1082.0,1522.0,1592.0,32146.0,31842.0,3440.0,3452.0,43864.0,44173.0,43628.0,44051.0,54.0,25.0,29.0,31766.0,15667.0,16099.0,66.0,37.0,29.0,11.0,6.0,5.0,14.0,8.0,6.0,42.0,22.0,20.0,50.0,22.0,28.0,27634.0,13586.0,14048.0,10.0,4.0,6.0,134.0,69.0,65.0,177.0,89.0,88.0,409.0,171.0,238.0,10.0,6.0,4.0,165.0,86.0,79.0,189.0,95.0,94.0,71.0,32.0,35.0,52.0,28.0,24.0,763.0,369.0,394.0,12.0,7.0,5.0,7.0,4.0,3.0,1077.0,591.0,486.0,31.0,15.0,16.0,31898.0,15954.0,15944.0,54.0,32.0,22.0,8.0,4.0,4.0,11.0,9.0,2.0,42.0,22.0,19.0,13.0,8.0,5.0,27922.0,13897.0,14025.0,19.0,7.0,9.0,142.0,71.0,71.0,177.0,92.0,85.0,450.0,221.0,229.0,15.0,6.0,4.0,120.0,67.0,53.0,203.0,101.0,102.0,31.0,17.0,14.0,59.0,32.0,27.0,831.0,416.0,415.0,39.0,22.0,17.0,10.0,6.0,4.0,1002.0,541.0,439.0,24919.0,25121.0,2628.0,2583.0,9291.0,10096.0,53.0,47.0,207.0,197.0,2840.0,1966.0,2291.0,2343.0,2343.0,2042.0,3907.0,4546.0,1217.0,1212.0,127.0,87.0,17856.0,18860.0,3595.0,3846.0,2238.0,2424.0,1041.0,922.0,10982.0,11668.0
25%,311.0,15456056.3,32093988.23,47625069.775,37721.5,37213.5,74935.0,2023.5,2891974.5,12553885.5,0.0,16199.0,4813.5,4292.5,5033.0,5694.5,10950.5,9436.0,7427.5,4881.0,4086.0,21677.0,56877.0,2619.0,4.5475,368.0,7076305.265000001,31386536.805,38635100.125,3.706666667,3143289.0,11675541.0,116629.0,448.5,6300101.395,35067424.985,42066851.31,3.855,3551114.5,11451341.5,50118.0,670.5,9130976.98,56011845.0,65212124.905,4.1425,3027396.5,10516568.0,5250.0,695.0,8652361.65,69422477.28,80070798.27,3.873333333,2553304.5,10390652.5,158226.0,745.0,8970954.515,75649666.305,86876579.19999999,38584.0,38484.5,77068.5,-2139.5,2352398.5,10405713.0,161225.0,16370.0,5336.0,3740.0,3789.5,5121.0,11177.5,10192.0,8302.5,5944.0,4389.5,24696.5,58178.0,3247.0,3.735,781.0,10601706.18,93861385.105,103650942.35,4.145,1907996.0,9791804.0,114900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,0.0,81.0,1660.0,1901.0,3628.0,3937.0,78640.0,80175.0,6531.0,6636.0,100733.5,103641.0,100308.0,103269.0,381.0,191.5,190.5,74595.0,37083.5,37511.5,155.5,86.5,61.0,54.5,28.0,28.5,57.0,29.5,30.5,113.5,59.5,52.5,152.5,73.5,74.5,66024.0,32877.0,33147.0,41.5,14.5,26.0,307.5,172.5,142.5,452.0,232.5,212.0,807.5,396.5,407.0,35.0,20.5,15.5,425.0,208.0,212.0,490.5,222.0,255.5,157.0,77.5,79.5,114.5,57.0,54.5,1881.5,891.5,1003.0,101.5,50.0,56.0,28.0,18.0,10.0,1978.0,998.5,979.5,224.5,113.0,119.0,76572.5,38267.0,38305.5,131.5,72.5,53.5,50.5,25.5,22.5,54.5,30.5,25.5,106.5,59.5,47.5,72.5,27.0,44.5,67795.0,33946.5,33848.5,56.5,24.0,33.0,309.0,166.0,131.5,450.0,248.0,203.5,955.0,468.0,509.5,39.5,20.5,18.0,357.0,175.5,194.5,610.0,301.0,309.0,93.5,41.5,47.0,125.5,57.5,64.5,2055.0,1017.5,1048.0,204.5,95.5,103.5,49.0,34.0,14.0,1849.0,924.0,903.5,57341.5,59394.0,5345.5,5360.0,21677.0,24696.5,109.0,89.0,583.5,565.5,7179.0,5000.5,5804.5,6391.0,6240.5,5738.0,7392.5,8667.0,2726.0,2758.5,220.0,268.5,42520.5,46426.5,9097.5,9689.0,5798.5,6380.5,2353.5,2460.0,25312.0,28114.5
50%,506.0,24673742.72,62117074.62,89055591.11,60763.0,62134.0,122897.0,3424.0,5996299.0,19551000.4,160050.0,25040.0,7608.0,7049.0,7739.0,8929.0,17655.0,15334.0,12748.0,8293.0,6021.0,37528.0,89168.0,4764.0,4.5475,591.0,9969977.11,66193265.58,74323494.73,3.706666667,5996862.0,18431430.0,290650.0,734.0,8230584.96,68183260.77,75339014.04,3.855,5922568.0,17135419.0,137450.0,1066.0,12809432.07,100811452.4,113385385.5,4.1425,5602501.0,16732858.0,319172.0,1282.0,14909138.69,140100495.1,155293759.6,3.873333333,4571410.0,15558561.0,507800.0,1241.0,17406203.33,160006350.7,174105118.0,63633.0,65251.0,128884.0,-1156.0,3765394.0,14902089.0,834740.0,24507.0,8468.0,5875.0,5867.0,7581.0,17388.0,17069.0,13558.0,10338.0,7001.0,41183.0,91326.0,5626.0,3.735,1324.0,21338155.23,183618403.0,207839096.7,4.145,3094415.0,15493535.0,295880.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,0.0,136.0,3116.0,3436.0,6432.0,6548.0,133208.0,130852.0,10432.0,10716.0,166311.0,173199.0,166112.0,172929.0,586.0,286.0,290.0,122431.0,61795.0,60636.0,219.0,126.0,93.0,98.0,48.0,51.0,112.0,53.0,54.0,233.0,126.0,106.0,202.0,106.0,108.0,108435.0,54728.0,53707.0,77.0,26.0,45.0,488.0,288.0,207.0,896.0,476.0,415.0,1240.0,603.0,631.0,64.0,39.0,26.0,688.0,365.0,332.0,873.0,409.0,468.0,336.0,147.0,152.0,192.0,90.0,102.0,2357.0,1125.0,1268.0,186.0,101.0,87.0,49.0,29.0,21.0,3603.0,1750.0,1823.0,321.0,160.0,162.0,127711.0,64165.0,63156.0,179.0,106.0,73.0,101.0,50.0,42.0,130.0,67.0,57.0,208.0,120.0,88.0,139.0,55.0,84.0,113077.0,56981.0,55756.0,95.0,40.0,55.0,526.0,314.0,231.0,891.0,480.0,413.0,1541.0,726.0,794.0,71.0,43.0,26.0,558.0,270.0,293.0,1051.0,520.0,538.0,187.0,102.0,82.0,239.0,108.0,119.0,2728.0,1333.0,1395.0,284.0,147.0,146.0,100.0,60.0,41.0,3251.0,1564.0,1687.0,94235.0,99219.0,9545.0,9665.0,37528.0,41183.0,170.0,122.0,890.0,791.0,10973.0,7812.0,10143.0,10493.0,9108.0,8188.0,12845.0,15121.0,4103.0,4246.0,313.0,431.0,70949.0,75838.0,14344.0,14481.0,8954.0,10213.0,4553.0,4242.0,42683.0,46995.0
